Transaction Description,Category
Stock Market Data Subscription,Investments
ESG Fund Purchase,Investments
Investment Trust Contribution,Investments
Alternative Assets Investment,Investments
Venture Capital Investment,Investments
Convertible Bonds Purchase,Investments
Annuity Purchase,Investments
Municipal Bonds Investment,Investments
Corporate Bonds Purchase,Investments
Private Equity Investment,Investments
Index Fund Contribution,Investments
Gym Membership Fee,Personal
Charity Donation,Personal
Spa Treatment,Personal
Salon Visit,Personal
Yoga Class Subscription,Personal
Music Lesson Fee,Personal
Fitness Equipment Purchase,Personal
Meditation App Subscription,Personal
Therapy Session Payment,Personal
Life Coach Fee,Personal
Weight Loss Program Enrollment,Personal
Pet Grooming Service Fee,Personal
Subscription to Self-Help Books,Personal
Personal Budgeting App Fee,Personal
Online Shopping Cart Checkout,Shopping
Holiday Gift Shopping,Shopping
Flash Sale Purchase,Shopping
Shopping Mall Visit,Shopping
Luxury Handbag Purchase,Shopping
Outdoor Gear Shopping,Shopping
Local Market Goods Purchase,Shopping
Seasonal Sale Shopping,Shopping
Online Electronics Deal,Shopping
Monthly Public Transit Pass,Transportation
Rideshare App Fare,Transportation
Fuel Station Purchase,Transportation
Taxi Ride Payment,Transportation
Annual Train Pass Fee,Transportation
Car Maintenance Service Fee,Transportation
Tire Replacement Fee,Transportation
Monthly Parking Garage Subscription,Transportation
Bicycle Repair Service,Transportation
Airline Ticket,Transportation
Airport Shuttle Fee,Transportation
Road Toll Payment,Transportation
Car Wash Service,Transportation
Vehicle Registration Fee,Transportation
Motorcycle Maintenance Payment,Transportation
Boat Docking Fee,Transportation
Roadside Assistance Membership,Transportation
Electric Vehicle Charging Fee,Transportation
Bus Ticket,Transportation
Long-Distance Train Ticket,Transportation
Ferry Ride Payment,Transportation
Scooter Rental Fee,Transportation
Highway Express Lane Toll,Transportation
Driver’s License Renewal Fee,Transportation
Rental Car Payment,Transportation
Vehicle Emission Testing Fee,Transportation
Uber or Lyft Pool Ride Fee,Transportation
Airport Lounge Access,Transportation
Weekend Road Trip Gas Expense,Transportation
